ninja: Entering directory `C:\Users\tanuj\OneDrive\Desktop\ether-vpn\openvpn\.cxx\Debug\3l54y586\arm64-v8a'
[941/1047] Building C object CMakeFiles/ssl.dir/openssl/ssl/statem/statem_srvr.c.o
[942/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/compat/compat-dirname.c.o
[943/1047] Building C object CMakeFiles/ssl.dir/openssl/ssl/tls_depr.c.o
[944/1047] Building C object CMakeFiles/ssl.dir/openssl/ssl/t1_trce.c.o
[945/1047] Building C object CMakeFiles/ssl.dir/openssl/ssl/t1_lib.c.o
[946/1047] Building C object CMakeFiles/ssl.dir/openssl/ssl/tls13_enc.c.o
[947/1047] Building C object CMakeFiles/osslspeedtest.dir/ovpnutil/sslspeed.c.o
[948/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/compat/compat-daemon.c.o
[949/1047] Building C object CMakeFiles/ssl.dir/openssl/ssl/tls_srp.c.o
[950/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/compat/compat-basename.c.o
[951/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/compat/compat-gettimeofday.c.o
[952/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/base64.c.o
[953/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/clinat.c.o
[954/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/console_builtin.c.o
[955/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/console.c.o
[956/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/buffer.c.o
[957/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/argv.c.o
[958/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/crypto_mbedtls.c.o
[959/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/auth_token.c.o
[960/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/crypto.c.o
[961/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/dns.c.o
[962/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/crypto_openssl.c.o
[963/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/event.c.o
[964/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/dhcp.c.o
[965/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/cryptoapi.c.o
[966/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/error.c.o
[967/1047] Building CXX object CMakeFiles/osslutil.dir/ovpnutil/osslutil.cpp.o
C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/ovpnutil/osslutil.cpp:117:7: warning: 'PKCS1_MGF1' is deprecated [-Wdeprecated-declarations]
  if (PKCS1_MGF1(EM, maskedDBLen, H, hLen, mgf1Hash))
      ^
C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/openssl/include/openssl/rsa.h:389:1: note: 'PKCS1_MGF1' has been explicitly marked deprecated here
OSSL_DEPRECATEDIN_3_0 int PKCS1_MGF1(unsigned char *mask, long len,
^
C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/openssl/include/openssl/macros.h:182:49: note: expanded from macro 'OSSL_DEPRECATEDIN_3_0'
#   define OSSL_DEPRECATEDIN_3_0                OSSL_DEPRECATED(3.0)
                                                ^
C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/openssl/include/openssl/macros.h:62:52: note: expanded from macro 'OSSL_DEPRECATED'
#     define OSSL_DEPRECATED(since) __attribute__((deprecated))
                                                   ^
1 warning generated.
[968/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/fragment.c.o
[969/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/env_set.c.o
[970/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/list.c.o
[971/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/fdmisc.c.o
[972/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/gremlin.c.o
[973/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/interval.c.o
[974/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/lladdr.c.o
[975/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/forward.c.o
[976/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/lzo.c.o
[977/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/httpdigest.c.o
[978/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/helper.c.o
[979/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/mbuf.c.o
[980/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/mstats.c.o
[981/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/mroute.c.o
[982/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/init.c.o
[983/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/misc.c.o
[984/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/mtcp.c.o
[985/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/manage.c.o
[986/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/occ.c.o
[987/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/mss.c.o
[988/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/mtu.c.o
[989/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/ntlm.c.o
[990/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/mudp.c.o
[991/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/otime.c.o
[992/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/pkcs11.c.o
[993/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/options_util.c.o
[994/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/packet_id.c.o
[995/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/multi.c.o
[996/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/perf.c.o
[997/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/pkcs11_openssl.c.o
[998/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/openvpn.c.o
[999/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/ping.c.o
[1000/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/plugin.c.o
[1001/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/proto.c.o
[1002/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/shaper.c.o
[1003/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/pool.c.o
[1004/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/platform.c.o
[1005/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/proxy.c.o
[1006/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/schedule.c.o
[1007/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/ssl_mbedtls.c.o
[1008/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/session_id.c.o
[1009/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/sig.c.o
[1010/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/ssl_util.c.o
[1011/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/socks.c.o
[1012/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/socket.c.o
[1013/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/ssl_verify_mbedtls.c.o
[1014/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/ssl_ncp.c.o
[1015/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/options.c.o
[1016/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/ssl_verify_openssl.c.o
[1017/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/ssl_openssl.c.o
[1018/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/ssl.c.o
[1019/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/status.c.o
[1020/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/ssl_pkt.c.o
[1021/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/tun.c.o
[1022/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/xkey_helper.c.o
[1023/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/vlan.c.o
[1024/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/comp.c.o
[1025/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/ssl_verify.c.o
[1026/1047] Building C object CMakeFiles/libovpnexec.so.dir/minivpn/minivpn.c.o
[1027/1047] cmd.exe /C "cd /D C:\Users\tanuj\OneDrive\Desktop\ether-vpn\openvpn\.cxx\Debug\3l54y586\arm64-v8a && C:\Users\tanuj\AppData\Local\Android\Sdk\cmake\3.22.1\bin\cmake.exe -E make_directory C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/../../../build/ovpnassets"
[1028/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/compstub.c.o
[1029/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/comp-lz4.c.o
[1030/1047] Building C object CMakeFiles/pie_openvpn.arm64-v8a.dir/minivpn/minivpn.c.o
[1031/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/tls_crypt.c.o
[1032/1047] Building C object CMakeFiles/openvpn.dir/openvpn/src/openvpn/xkey_provider.c.o
[1033/1047] Linking C static library libcrypto.a
[1034/1047] Linking C static library libssl.a
[1035/1047] Linking CXX shared library C:\Users\tanuj\OneDrive\Desktop\ether-vpn\openvpn\build\intermediates\cxx\Debug\3l54y586\obj\arm64-v8a\libosslutil.so
[1036/1047] Linking C shared library C:\Users\tanuj\OneDrive\Desktop\ether-vpn\openvpn\build\intermediates\cxx\Debug\3l54y586\obj\arm64-v8a\libosslspeedtest.so
[1037/1047] Linking C shared library C:\Users\tanuj\OneDrive\Desktop\ether-vpn\openvpn\build\intermediates\cxx\Debug\3l54y586\obj\arm64-v8a\libopenvpn.so
[1038/1047] Linking C executable C:\Users\tanuj\OneDrive\Desktop\ether-vpn\openvpn\build\intermediates\cxx\Debug\3l54y586\obj\arm64-v8a\libovpnexec.so
[1039/1047] Linking C executable C:\Users\tanuj\OneDrive\Desktop\ether-vpn\openvpn\build\intermediates\cxx\Debug\3l54y586\obj\arm64-v8a\pie_openvpn.arm64-v8a
[1040/1047] Building C object CMakeFiles/ovpnutil.dir/ovpnutil/jniglue.c.o
[1041/1047] Linking C shared library C:\Users\tanuj\OneDrive\Desktop\ether-vpn\openvpn\build\intermediates\cxx\Debug\3l54y586\obj\arm64-v8a\libovpnutil.so
[1042/1047] Generating ovpncli_wrap.cxx
[1043/1047] Building C object CMakeFiles/ovpn3.dir/openvpn3/openvpn/openssl/xkey/xkey_helper.c.o
[1044/1047] Building C object CMakeFiles/ovpn3.dir/openvpn3/openvpn/openssl/xkey/xkey_provider.c.o
[1045/1047] Building CXX object CMakeFiles/ovpn3.dir/ovpncli_wrap.cxx.o
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/.cxx/Debug/3l54y586/arm64-v8a/ovpncli_wrap.cxx:817:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/openvpn3/client/ovpncli.hpp:31:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/openvpn3/openvpn/tun/builder/base.hpp:31:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/openvpn3/openvpn/addr/ip.hpp:28:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/openvpn3/openvpn/io/io.hpp:28:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/asio/asio/include/asio.hpp:18:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/asio/asio/include/asio/append.hpp:72:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/asio/asio/include/asio/impl/append.hpp:22:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/asio/asio/include/asio/detail/handler_alloc_helpers.hpp:23:
C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/asio/asio/include/asio/associated_allocator.hpp:100:49: warning: 'allocator<void>' is deprecated [-Wdeprecated-declarations]
template <typename T, typename Allocator = std::allocator<void> >
                                                ^
C:/Users/tanuj/AppData/Local/Android/Sdk/ndk/25.1.8937393/toolchains/llvm/prebuilt/windows-x86_64/sysroot/usr/include/c++/v1/memory:717:28: note: 'allocator<void>' has been explicitly marked deprecated here
class _LIBCPP_TEMPLATE_VIS _LIBCPP_DEPRECATED_IN_CXX17 allocator<void>
                           ^
C:/Users/tanuj/AppData/Local/Android/Sdk/ndk/25.1.8937393/toolchains/llvm/prebuilt/windows-x86_64/sysroot/usr/include/c++/v1/__config:1001:39: note: expanded from macro '_LIBCPP_DEPRECATED_IN_CXX17'
#  define _LIBCPP_DEPRECATED_IN_CXX17 _LIBCPP_DEPRECATED
                                      ^
C:/Users/tanuj/AppData/Local/Android/Sdk/ndk/25.1.8937393/toolchains/llvm/prebuilt/windows-x86_64/sysroot/usr/include/c++/v1/__config:978:48: note: expanded from macro '_LIBCPP_DEPRECATED'
#    define _LIBCPP_DEPRECATED __attribute__ ((deprecated))
                                               ^
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/.cxx/Debug/3l54y586/arm64-v8a/ovpncli_wrap.cxx:817:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/openvpn3/client/ovpncli.hpp:31:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/openvpn3/openvpn/tun/builder/base.hpp:31:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/openvpn3/openvpn/addr/ip.hpp:28:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/openvpn3/openvpn/io/io.hpp:28:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/asio/asio/include/asio.hpp:21:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/asio/asio/include/asio/associated_executor.hpp:24:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/asio/asio/include/asio/system_executor.hpp:20:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/asio/asio/include/asio/execution.hpp:19:
C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/asio/asio/include/asio/execution/any_executor.hpp:611:47: warning: 'allocator<void>' is deprecated [-Wdeprecated-declarations]
          function(ASIO_MOVE_CAST(F)(f), std::allocator<void>()));
                                              ^
C:/Users/tanuj/AppData/Local/Android/Sdk/ndk/25.1.8937393/toolchains/llvm/prebuilt/windows-x86_64/sysroot/usr/include/c++/v1/memory:717:28: note: 'allocator<void>' has been explicitly marked deprecated here
class _LIBCPP_TEMPLATE_VIS _LIBCPP_DEPRECATED_IN_CXX17 allocator<void>
                           ^
C:/Users/tanuj/AppData/Local/Android/Sdk/ndk/25.1.8937393/toolchains/llvm/prebuilt/windows-x86_64/sysroot/usr/include/c++/v1/__config:1001:39: note: expanded from macro '_LIBCPP_DEPRECATED_IN_CXX17'
#  define _LIBCPP_DEPRECATED_IN_CXX17 _LIBCPP_DEPRECATED
                                      ^
C:/Users/tanuj/AppData/Local/Android/Sdk/ndk/25.1.8937393/toolchains/llvm/prebuilt/windows-x86_64/sysroot/usr/include/c++/v1/__config:978:48: note: expanded from macro '_LIBCPP_DEPRECATED'
#    define _LIBCPP_DEPRECATED __attribute__ ((deprecated))
                                               ^
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/.cxx/Debug/3l54y586/arm64-v8a/ovpncli_wrap.cxx:817:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/openvpn3/client/ovpncli.hpp:31:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/openvpn3/openvpn/tun/builder/base.hpp:31:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/openvpn3/openvpn/addr/ip.hpp:28:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/openvpn3/openvpn/io/io.hpp:28:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/asio/asio/include/asio.hpp:21:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/asio/asio/include/asio/associated_executor.hpp:24:
C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/asio/asio/include/asio/system_executor.hpp:171:54: warning: 'allocator<void>' is deprecated [-Wdeprecated-declarations]
  basic_system_executor<Blocking, Relationship, std::allocator<void> >
                                                     ^
C:/Users/tanuj/AppData/Local/Android/Sdk/ndk/25.1.8937393/toolchains/llvm/prebuilt/windows-x86_64/sysroot/usr/include/c++/v1/memory:717:28: note: 'allocator<void>' has been explicitly marked deprecated here
class _LIBCPP_TEMPLATE_VIS _LIBCPP_DEPRECATED_IN_CXX17 allocator<void>
                           ^
C:/Users/tanuj/AppData/Local/Android/Sdk/ndk/25.1.8937393/toolchains/llvm/prebuilt/windows-x86_64/sysroot/usr/include/c++/v1/__config:1001:39: note: expanded from macro '_LIBCPP_DEPRECATED_IN_CXX17'
#  define _LIBCPP_DEPRECATED_IN_CXX17 _LIBCPP_DEPRECATED
                                      ^
C:/Users/tanuj/AppData/Local/Android/Sdk/ndk/25.1.8937393/toolchains/llvm/prebuilt/windows-x86_64/sysroot/usr/include/c++/v1/__config:978:48: note: expanded from macro '_LIBCPP_DEPRECATED'
#    define _LIBCPP_DEPRECATED __attribute__ ((deprecated))
                                               ^
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/.cxx/Debug/3l54y586/arm64-v8a/ovpncli_wrap.cxx:817:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/openvpn3/client/ovpncli.hpp:31:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/openvpn3/openvpn/tun/builder/base.hpp:31:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/openvpn3/openvpn/addr/ip.hpp:28:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/openvpn3/openvpn/io/io.hpp:28:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/asio/asio/include/asio.hpp:21:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/asio/asio/include/asio/associated_executor.hpp:24:
C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/asio/asio/include/asio/system_executor.hpp:175:28: warning: 'allocator<void>' is deprecated [-Wdeprecated-declarations]
        Relationship, std::allocator<void> >();
                           ^
C:/Users/tanuj/AppData/Local/Android/Sdk/ndk/25.1.8937393/toolchains/llvm/prebuilt/windows-x86_64/sysroot/usr/include/c++/v1/memory:717:28: note: 'allocator<void>' has been explicitly marked deprecated here
class _LIBCPP_TEMPLATE_VIS _LIBCPP_DEPRECATED_IN_CXX17 allocator<void>
                           ^
C:/Users/tanuj/AppData/Local/Android/Sdk/ndk/25.1.8937393/toolchains/llvm/prebuilt/windows-x86_64/sysroot/usr/include/c++/v1/__config:1001:39: note: expanded from macro '_LIBCPP_DEPRECATED_IN_CXX17'
#  define _LIBCPP_DEPRECATED_IN_CXX17 _LIBCPP_DEPRECATED
                                      ^
C:/Users/tanuj/AppData/Local/Android/Sdk/ndk/25.1.8937393/toolchains/llvm/prebuilt/windows-x86_64/sysroot/usr/include/c++/v1/__config:978:48: note: expanded from macro '_LIBCPP_DEPRECATED'
#    define _LIBCPP_DEPRECATED __attribute__ ((deprecated))
                                               ^
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/.cxx/Debug/3l54y586/arm64-v8a/ovpncli_wrap.cxx:817:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/openvpn3/client/ovpncli.hpp:31:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/openvpn3/openvpn/tun/builder/base.hpp:31:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/openvpn3/openvpn/addr/ip.hpp:28:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/openvpn3/openvpn/io/io.hpp:28:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/asio/asio/include/asio.hpp:21:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/asio/asio/include/asio/associated_executor.hpp:24:
C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/asio/asio/include/asio/system_executor.hpp:444:45: warning: 'allocator<void>' is deprecated [-Wdeprecated-declarations]
    execution::relationship_t::fork_t, std::allocator<void> >
                                            ^
C:/Users/tanuj/AppData/Local/Android/Sdk/ndk/25.1.8937393/toolchains/llvm/prebuilt/windows-x86_64/sysroot/usr/include/c++/v1/memory:717:28: note: 'allocator<void>' has been explicitly marked deprecated here
class _LIBCPP_TEMPLATE_VIS _LIBCPP_DEPRECATED_IN_CXX17 allocator<void>
                           ^
C:/Users/tanuj/AppData/Local/Android/Sdk/ndk/25.1.8937393/toolchains/llvm/prebuilt/windows-x86_64/sysroot/usr/include/c++/v1/__config:1001:39: note: expanded from macro '_LIBCPP_DEPRECATED_IN_CXX17'
#  define _LIBCPP_DEPRECATED_IN_CXX17 _LIBCPP_DEPRECATED
                                      ^
C:/Users/tanuj/AppData/Local/Android/Sdk/ndk/25.1.8937393/toolchains/llvm/prebuilt/windows-x86_64/sysroot/usr/include/c++/v1/__config:978:48: note: expanded from macro '_LIBCPP_DEPRECATED'
#    define _LIBCPP_DEPRECATED __attribute__ ((deprecated))
                                               ^
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/.cxx/Debug/3l54y586/arm64-v8a/ovpncli_wrap.cxx:817:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/openvpn3/client/ovpncli.hpp:31:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/openvpn3/openvpn/tun/builder/base.hpp:31:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/openvpn3/openvpn/addr/ip.hpp:28:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/openvpn3/openvpn/io/io.hpp:28:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/asio/asio/include/asio.hpp:21:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/asio/asio/include/asio/associated_executor.hpp:24:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/asio/asio/include/asio/system_executor.hpp:682:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/asio/asio/include/asio/impl/system_executor.hpp:21:
C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/asio/asio/include/asio/system_context.hpp:39:12: warning: 'allocator<void>' is deprecated [-Wdeprecated-declarations]
      std::allocator<void>
           ^
C:/Users/tanuj/AppData/Local/Android/Sdk/ndk/25.1.8937393/toolchains/llvm/prebuilt/windows-x86_64/sysroot/usr/include/c++/v1/memory:717:28: note: 'allocator<void>' has been explicitly marked deprecated here
class _LIBCPP_TEMPLATE_VIS _LIBCPP_DEPRECATED_IN_CXX17 allocator<void>
                           ^
C:/Users/tanuj/AppData/Local/Android/Sdk/ndk/25.1.8937393/toolchains/llvm/prebuilt/windows-x86_64/sysroot/usr/include/c++/v1/__config:1001:39: note: expanded from macro '_LIBCPP_DEPRECATED_IN_CXX17'
#  define _LIBCPP_DEPRECATED_IN_CXX17 _LIBCPP_DEPRECATED
                                      ^
C:/Users/tanuj/AppData/Local/Android/Sdk/ndk/25.1.8937393/toolchains/llvm/prebuilt/windows-x86_64/sysroot/usr/include/c++/v1/__config:978:48: note: expanded from macro '_LIBCPP_DEPRECATED'
#    define _LIBCPP_DEPRECATED __attribute__ ((deprecated))
                                               ^
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/.cxx/Debug/3l54y586/arm64-v8a/ovpncli_wrap.cxx:817:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/openvpn3/client/ovpncli.hpp:31:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/openvpn3/openvpn/tun/builder/base.hpp:31:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/openvpn3/openvpn/addr/ip.hpp:28:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/openvpn3/openvpn/io/io.hpp:28:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/asio/asio/include/asio.hpp:26:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/asio/asio/include/asio/basic_datagram_socket.hpp:20:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/asio/asio/include/asio/basic_socket.hpp:22:
In file included from C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/asio/asio/include/asio/detail/io_object_impl.hpp:23:
C:/Users/tanuj/OneDrive/Desktop/ether-vpn/openvpn/src/main/cpp/asio/asio/include/asio/io_context.hpp:216:36: warning: 'allocator<void>' is deprecated [-Wdeprecated-declarations]
  typedef basic_executor_type<std::allocator<void>, 0> executor_type;
                                   ^
C:/Users/tanuj/AppData/Local/Android/Sdk/ndk/25.1.8937393/toolchains/llvm/prebuilt/windows-x86_64/sysroot/usr/include/c++/v1/memory:717:28: note: 'allocator<void>' has been explicitly marked deprecated here
class _LIBCPP_TEMPLATE_VIS _LIBCPP_DEPRECATED_IN_CXX17 allocator<void>
                           ^
C:/Users/tanuj/AppData/Local/Android/Sdk/ndk/25.1.8937393/toolchains/llvm/prebuilt/windows-x86_64/sysroot/usr/include/c++/v1/__config:1001:39: note: expanded from macro '_LIBCPP_DEPRECATED_IN_CXX17'
#  define _LIBCPP_DEPRECATED_IN_CXX17 _LIBCPP_DEPRECATED
                                      ^
